First Name,MI,Last Name,Date of Birth,Sex,Current Street 1,Current Street 2,Current City,Current State,Current Zip Code
drake,0,coslett,2/4/1972,M,15023rd ave,0,boston,MA,2163
betteanne,0,purton,2/15/2009,F,59 summer ridge court,0,akron,OH,44321
betteanne,0,purtun,2/15/2009,F,59 summer rige court,0,akron,OH,44321
betteanne,0,purtin,2/15/2009,F,59 summer ridge court,0,akron,OH,44321
betteanne,0,purten,2/15/2009,F,59 summer ridge court,0,akron,OH,44321
betteane,0,purton,2/15/2009,F,59 summer ridge court,0,akron,OH,44321
beteanne,0,purton,2/15/2009,F,59 sumer ridge court,0,akron,OH,44321
betteanne,0,purton,2/15/2009,M,12 winter ridge drive,0,norka,CO,48589
betteanne,0,purton,2/15/2009,M,12 winter ridge drive,0,norka,CO,48589
katharina,0,stopper,3/19/1960,F,61256 merrick place,0,albuquerque,NM,87190
katharina,0,stopper,3/19/1860,F,61256 merrick place,0,albuquerque,NM,87190
katharina,0,stopper,3/19/1960,F,61256 merrick place,0,albuquerque,NM,87190
katharina,0,stopper,3/19/1960,F,61256 merick place,0,albuquerque,NM,87190
katharin,0,stopper,3/19/1960,F,61256 merrick place,0,albuquerque,NM,87191
katharina,0,stopper,4/21/1950,F,61256 merrick place,0,albuquerque,NM,87190
katharina,0,stoper,4/21/1950,F,61256 merrick place,0,albuquerque,NM,87190
katarina,0,stopper,4/21/1950,F,61256 merrick place,0,albuquerque,MN,87190
katherine,0,stopper,4/21/1950,F,61256 merrick place,0,albuquerque,NM,87190
kimberley,0,lygoe,3/24/1999,F,85 stuart crossing,0,glendale,AZ,85305
kimberley,0,lygoe,3/24/1999,F,85 stuart crossing,0,glendale,AZ,85305
kimberley,0,lygoe,3/24/1998,F,85 stuart crossing,0,glendale,AZ,85305
kimberly,0,lygoe,3/24/1999,F,85 stuart crossing,0,glendale,AZ,85305
kim,0,lygoe,3/24/1999,F,85 stuart crossing,0,glendale,AZ,85304
kimberley,0,lygoe,3/24/1999,F,15 first,0,glendale,CA,92872
kimberlie,0,lygoe,3/24/1999,F,15 first,0,glendale,CA,92872
kimberlay,0,lygoe,3/24/1999,F,15 first,0,glendale,CA,92872
pasquale,0,beevers,2/9/1980,M,37300 talisman road,0,honolulu,HI,96810
pascale,0,beevers,2/9/1980,M,37300 talisman road,0,honolulu,HI,96810
pasquale,0,beavers,2/9/1980,M,37300 talisman road,0,honolulu,HI,96810
pasquale,0,beevers,2/9/1980,M,37300 talisman road,0,honolulu,HI,96810
pasquale,0,beevers,2/9/1981,M,37300 talisman road,0,honolulu,HI,96810
pasquale,0,beevers,2/9/1980,M,37300 tallisman road,0,honolulu,HI,96820
pasquale,0,beevers,3/9/1990,M,99 buena vista street,3,el paso,TX,88589
pasquale,0,beevers,3/9/1990,M,99 buena vista street,3,del paso,TX,88589
byrom,0,vanini,11/8/1985,M,9 bellgrove street,0,silver spring,MD,20904
birom,0,vanini,11/8/1985,M,9 bellgrove street,0,silver spring,MD,20904
byrom,0,vanini,11/8/1989,M,9 bellgrove street,0,silver spring,MD,20904
byrom,0,vanini,11/8/1985,M,9 belgrove street,0,silver spring,MD,20904
byrom,0,vanini,11/8/1985,M,9 ballgrove street,0,silver spring,MD,20904
byrom,0,vanini,2/29/1963,F,84732 sirenhill,0,lucid lake,ME,58963
byron,0,vanini,2/28/1963,F,84732 sirenhill,0,lucid lake,ME,58963
byrom,0,vannini,2/28/1963,F,84732 sirenhill,0,lucid lake,0,58963
karlotta,0,macgray,5/4/2008,F,987 loomis junction,0,san antonio,TX,78205
karlotta,0,macgray,5/4/2008,F,987 lomis junction,0,san antonio,TX,78205
karlotta,0,macgray,5/4/2008,F,987 loomis junction,0,san antonio,TX,78205
karlota,0,macgrey,5/4/2008,F,987 loomis junction,0,san antonio,TX,78205
karlotta,0,macgray,5/4/2008,M,212 bluejay way,0,san diego,CA,92176
karlotta,0,mcgray,5/4/2008,M,211 bluejay way,0,san diego,CA,92176
pauli,0,fairclough,10/28/1987,F,90841 crest line center,0,salt lake city,UT,84135
palli,0,fairclough,10/28/1987,F,90841 crest line center,0,salt lake city,UT,84135
pauli,0,fairclow,10/28/1987,F,90841 crest line center,0,salt lake city,UT,84135
pauli,0,fairclough,11/28/1987,F,90841 crest line center,0,salt lake city,UT,84135
pauli,0,faircough,10/28/1987,F,90841 crest line circle,0,salt lake city,UT,84135
pauli,0,fairclough,10/28/1987,F,38493 crust circle lane,0,fresh water city,NM,78594
kirbee,0,hartles,11/21/1973,F,39148 service circle,0,lexington,KY,40505
kirby,0,heartles,11/21/1973,F,39148 service circle,0,lexington,KY,40505
kirbee,0,hartless,11/21/1973,F,39148 service circle,0,lexington,KY,40505
kirbee,0,hartles,11/21/1973,F,38148 service circle,0,lexington,KY,40505
kirbee,0,hartles,11/21/1973,M,83940 dragonfruit,0,orange county,NY,40505
kirbee,0,hartles,11/21/1973,M,83940 dragonfruit,0,oc,NY,40505
kirbee,0,hartles,11/21/1973,M,83940 dragonfruit,0,orange,NY,40505
tammie,0,badman,8/9/1953,F,79 graceland junction,0,spartanburg,SC,29319
tamie,0,badman,8/9/1953,F,79 graceland junction,0,spartanburg,SC,29319
tammy,0,badman,8/9/1953,F,79 graceland junction,0,spartanberg,SC,29319
tammey,0,badmann,8/9/1953,F,79 graceland junction,0,spartanburg,SC,29319
tammie,0,bedmen,8/9/1953,F,79 graceland junction,0,spartenburg,SC,29319
tammie,0,badman,8/9/1953,F,0,0,0,0,0
tamy,0,badman,8/9/1953,F,23 lyche,0,dalas,TX,18578
tammie,0,badman,8/9/1953,F,23 lychee,0,dallas,TX,18578
cheston,0,browne,7/1/1968,M,057 manitowish parkwy,0,san jose,CA,95133
cheston,0,brown,7/1/1968,M,057 manitowish parkwy,0,san jose,CA,95133
cheston,0,browne,7/11/1968,M,057 mantowish parkwy,0,san jose,CA,95133
cheston,0,browne,7/1/1968,M,057 manitowish parkwy,0,san jose,CA,95133
cheston,0,browne,2/14/1952,F,0,0,0,0,0
cheston,0,browne,2/14/1952,F,132 choccolate circle,0,hershey,PA,93938
cheston,0,brown,2/14/1952,F,132 chocolate cir,0,hershy,PA,93938
chesten,0,brownie,2/14/1952,F,132 chocolate circle,0,hershey,PA,93938
worthington,0,wrixon,5/4/1972,M,05342 sunfield drive,0,san diego,CA,92145
worthingten,0,wixon,5/4/1972,M,05342 sunfield drive,0,san diego,CA,92145
worthington,0,wrixon,5/4/1973,M,05352 sunfield drive,0,san diego,CA,92145
worthington,0,wrixon,5/4/1972,M,05342 sunfield drive,0,san diego,CA,92145
worthington,0,wrixon,5/4/1972,M,05342 sunfield drive,0,san diego,CA,92145
worthington,0,wrixen,5/4/1972,M,05342 sunfield drive,0,san diego,CA,92145
worthington,0,wrixon,10/31/1960,F,84093 lemon,117,irvine,CA,92618
worthington,0,wrizon,10/31/1960,F,84093 lemon,117,irvine,CA,92618
worthinton,0,wrixon,10/31/1960,F,84093 lemon,117,irvine,CA,92618
raye,0,gatenby,3/29/1941,F,10 memorial road,0,omaha,NE,68164
raye,0,gatenby,3/29/1941,F,10 memorial rd,0,omaha,NE,0
ray,0,gatenbie,3/29/1941,F,10 memorial st,0,omaha,NE,68164
raye,0,gatenby,4/29/1941,F,10 memorial road,0,omaha,0,68164
konstantin,S,kordt,8/28/1938,M,942 homewood street,0,salt lake city,UT,84115
konstantin,S,kordt,8/28/1938,0,0,0,salt lake city,UT,84115
konstantin,S,kordt,8/28/1938,0,942 homewood st,0,0,UT,84115
konstentin,0,kort,8/28/1939,0,942 homewood street,0,salt lake city,UT,84115
ailsun,0,dovydenas,6/25/1937,F,1 bowman junction,0,austin,TX,78749
alison,J,dovydenas,6/25/1937,0,1 bowman junction,0,austin,TX,78749
ailsun,J,0,6/25/1937,F,0,0,austin,TX,78749
ailsun,0,dovydenas,6/25/1937,F,1 bowman junction,1412,austin,TX,78749
dionne,0,cockcroft,6/25/1988,F,97576 parkside place,0,tulsa,OK,74108
diane,0,cockcroft,6/25/1988,0,97576 parkside pl,0,tulsa,OK,74108
dionne,0,cockcroft,6/28/198+,F,97576 parkside place,0,tulsa,OK,74108
hastings,0,meggison,10/31/1936,M,7 forest run parkwy,0,dallas,TX,75342
meggison,0,hastings,10/31/1936,0,7 forest run parkwy,0,dales,TX,75342
hastings,0,meggison,10/31/1936,M,7 forest run parkwy,0,dallas,TX,75342
hastings,0,megison,10/31/1936,M,0,0,dallas,TX,75342
hastings,K,meggison,10/31/1955,F,1511 meadow view dr,0,hartford,CT,6182
flori,0,matuskiewicz,5/20/1984,F,45863 gerald pass,0,grand rapids,MI,49518
flori,0,matsukiwicks,5/20/1984,0,45863 gerald pass,0,grand rapids,MI,0
anne-marie,0,keig,8/15/1932,F,474 annamark avenue,0,conroe,TX,77305
anne,0,keig,8/15/1935,F,474 annamark ave,0,conroe,TX,77305
anne,M,keig,8/15/1932,0,474 annamark ave,0,0,TX,77305
berti,0,lockie,11/13/1983,F,2729 springs junction,0,arlington,VA,22234
berti,0,lockee,11/13/1983,0,2729 springs junction,0,arlington,VA,0
berti,0,locki,11/13/1983,F,2729 springs junction,0,arlington,VA,22234
berti,0,lockie,10/13/19/3,F,2729 springs junction,0,arlinton,VA,22234
zarah,0,dake,6/29/2010,F,334 pearson lane,0,stockton,CA,95219
sarah,0,dake,6/29/2010,F,334 pearson ln,0,stockton,0,95219
sara,0,drake,6/29/2010,0,334 pearson ln,0,stockton,CA,0
madison,G,pybus,12/30/1937,M,14 cardinal terrace,0,portland,OR,97211
maddie,G,pybus,12/30/1937,0,14 cardinal terace,0,pdx,OR,9721
madison,0,p,12/20/1937,0,14 cardinal terrace,0,portland,PR,0
madison,0,piebus,12/30/1937,M,14 cardinal terrace,0,portland,OR,97211
madison,Q,pybus,5/24/2013,F,4454 spadafore dr,0,vancouver,WA,98683
early,0,burnyeat,9/26/1991,0,66 pierstorff ave,0,new castle,PA,16107
earlie,J,burnyeat,9/26/1991,0,66 pierstorff avenue,0,new castle,PA,16107
hearly,J,burniet,9/26/19991,0,66 pierstorff ave,569,new castle,PA,1610
j,0,vu,12/15/1970,F,1619 78th road,0,vancouver,WA,98683
j,0,vu,12/15/1970,F,1619 78th rd,0,vancouver,WA,98683
ja,0,vue,12/15/1970,F,1619 78th rode,0,vancouver,WA,98683
jah,0,vu,12/15/1970,F,1619 78th roed,0,vancouver,WA,98683
t.j.,S,fry,5/5/1986,F,12405 teiter heights e,0,kelso,WA,98626
t-jay,S,fry,5/5/1986,F,12405 teiter heights e,0,kelso,WA,98626
t-j,S,frye,5/5/1986,F,12405 teiter heights e,0,kelso,WA,98626
tj,S,fry,5/5/1986,F,12405 teiter heights e,0,kelso,WA,98626
todd,0,jones,12/1/2015,M,15424 jeffies lane,2,vancouver,WA,98683
tom,0,jones,12/1/2015,M,15424 jeffies lane,2,vancouver,WA,98683
bill,0,smith,5/16/1972,M,16595 city view lane,0,vancouver,WA,98684
bill,0,smith,5/16/1972,M,0,0,0,0,0
sarah,0,field,3/17/2010,F,9850 kelso road,0,kelso,WA,98626
sara,0,field,3/17/2010,F,0,0,0,0,0
sara,0,field,3/17/2010,F,0,0,0,0,0
